dateTime,country,city,region,profile,age,gender,surveyType,purpose,concern,whenSiteUsed,purchasedBefore,purchaseExpectInNextMonth,productKnewWhatWanted,behavNumVisits,behavReferral,behavPageviews,avgAmountSpent
25.07.14,United States,Monroe,562,New customer,25-34,Female,At Exit,Resources,Ease of returning (if I am not satisfied with product),In the past week,"Yes, once",5,Yes,5,Direct,4 to 6,44.91
25.07.14,United States,Ambler,24,New customer,35-44,Female,At Exit,Buy from this site,Product effectiveness/will it work,In the past year,"Yes, once",3,Yes,12,Unbranded Search,1,114.52
25.07.14,United States,Beaumont,75,New customer,35-44,Female,At Exit,Compare pricing,Product effectiveness/will it work,Never. This is my first visit,NA,3,Yes,16,Unbranded Search,10+,120.27
25.07.14,United States,Cedar City,157,Other,25-34,Female,At Exit,Products,Shipping costs,Never. This is my first visit,NA,3,Somewhat,1,Unbranded Search,10+,73.7
26.07.14,United States,Bullhead City,131,Occasional customer,55-64,Female,At Exit,Resources,Product effectiveness/will it work,Never. This is my first visit,NA,5,NA,5,Referred,1,48.81
26.07.14,United States,Lake Arrowhead,462,Other,18-24,Prefer not to answer,At Exit,Compare pricing,Product effectiveness/will it work,Never. This is my first visit,NA,3,Somewhat,9,Social,10+,87.34
26.07.14,Kuwait,Kuwait,451,Frequent customer,55-64,Female,At Exit,Resources,None / no uncertainties,In the past week,No,5,NA,1,Direct,10+,24.9
26.07.14,United States,New Bern,589,Other,NA,Female,At Exit,Products,None / no uncertainties,In the past week,"Yes, once",1,NA,10,Unbranded Search,4 to 6,139.85
26.07.14,United States,Cleveland,183,Occasional customer,45-54,Female,At Exit,Other,None / no uncertainties,Never. This is my first visit,NA,5,NA,16,Referred,10+,74.47
26.07.14,India,Bhatinda,92,New customer,NA,Female,At Exit,Buy from this site,Shipping costs,Never. This is my first visit,NA,4,Yes,52,Unbranded Search,7 to 9,120.14
26.07.14,United States,Shirley,810,New customer,NA,Prefer not to answer,At Exit,Compare pricing,Ease of returning (if I am not satisfied with product),In the past week,No,3,Somewhat,9,Direct,1,79.66
26.07.14,United States,Radcliff,709,New customer,Less than 18,Male,At Exit,Compare pricing,Product effectiveness/will it work,In the past week,No,4,No,1,Direct,2 to 3,10.82
26.07.14,United States,Demotte,234,Employee,NA,Male,At Exit,Resources,Product durability/quality,Never. This is my first visit,NA,3,NA,13,Unbranded Search,1,99.2
26.07.14,United States,Glen Lyon,328,Other,NA,Male,At Exit,Products,Shipping costs,Never. This is my first visit,NA,3,NA,35,Referred,10+,113.31
27.07.14,United States,Tahlequah,854,Other,NA,Prefer not to answer,At Exit,Products,Shipping costs,Never. This is my first visit,NA,1,No,239,Unbranded Search,2 to 3,168.23
27.07.14,Australia,Perth,672,New customer,Less than 18,Male,At Exit,Resources,None / no uncertainties,Never. This is my first visit,NA,5,NA,2,Unbranded Search,10+,0
27.07.14,United States,Storrs Mansfield,838,Occasional customer,35-44,Female,At Exit,Buy from this site,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,3,Somewhat,8,Social,10+,115.11
27.07.14,Australia,Perth,672,Occasional customer,45-54,Female,At Exit,Products,Product effectiveness/will it work,Never. This is my first visit,NA,4,NA,6,Social,10+,84.46
27.07.14,Canada,Halifax,357,New customer,25-34,Male,At Exit,Products,None / no uncertainties,In the past week,No,3,Somewhat,8,Referred,1,77.31
27.07.14,United States,Centreville,162,New customer,NA,Female,At Exit,Products,Fast delivery,Never. This is my first visit,NA,1,NA,3,Unbranded Search,7 to 9,105.69
27.07.14,United States,Virginia Beach,900,New customer,NA,Female,At Exit,Buy from this site,None / no uncertainties,Never. This is my first visit,NA,5,No,19,Unbranded Search,10+,71.61
27.07.14,United States,Herndon,371,New customer,NA,Male,At Exit,Compare pricing,None / no uncertainties,In the past month,"Yes, once",3,Somewhat,4,Self Referred,2 to 3,63.45
27.07.14,United States,Hattiesburg,363,Occasional customer,NA,Male,At Exit,Resources,Warranties/product guarantees,In the past year,No,3,NA,7,Direct,2 to 3,80.94
27.07.14,United States,Searcy,797,New customer,NA,Prefer not to answer,At Exit,Buy from this site,None / no uncertainties,Never. This is my first visit,NA,1,NA,49,Unbranded Search,10+,130.06
28.07.14,Philippines,Newnan,NA,New customer,25-34,Female,At Exit,Resources,Shipping costs,Never. This is my first visit,NA,1,NA,7,Unbranded Search,4 to 6,119.04
28.07.14,United States,Henderson,368,Frequent customer,35-44,Female,At Exit,Products,Product durability/quality,In the past year,No,3,Somewhat,3,Unbranded Search,10+,101.37
28.07.14,United States,New York,598,Other,35-44,Female,At Exit,Products,Shipping costs,Never. This is my first visit,NA,2,No,14,Social,7 to 9,139.48
28.07.14,United States,Seabrook,796,New customer,35-44,Female,At Exit,Products,Whether this is right for my child,Never. This is my first visit,NA,3,Somewhat,6,Referred,4 to 6,103.06
28.07.14,United States,De Forest,226,New customer,25-34,Female,At Exit,Compare pricing,Shipping costs,Never. This is my first visit,NA,4,No,50,Unbranded Search,10+,119.36
28.07.14,United States,Georgetown,324,Occasional customer,NA,Male,At Exit,Products,None / no uncertainties,Never. This is my first visit,NA,1,NA,20,Referred,4 to 6,118.43
28.07.14,United States,Macomb,508,Occasional customer,35-44,Female,At Exit,Buy from this site,Shipping costs,In the past year,"Yes, more than once",2,Yes,5,Direct,4 to 6,115.11
28.07.14,United States,Beaverton,76,Employee,NA,Female,At Exit,Products,None / no uncertainties,Never. This is my first visit,NA,3,No,6,Unbranded Search,4 to 6,115.24
28.07.14,Israel,Tel Aviv,858,New customer,NA,Male,At Arrival Only,Products,None / no uncertainties,More than a year ago,No,3,Somewhat,6,Referred,10+,97.76
28.07.14,United States,Abingdon,2,New customer,NA,Female,At Arrival and Exit,Products,Other,Never. This is my first visit,NA,3,Somewhat,37,Unbranded Search,4 to 6,139.44
28.07.14,United States,Sioux Falls,814,Frequent customer,NA,Female,At Exit,Products,None / no uncertainties,In the past month,"Yes, once",3,Somewhat,6,Unbranded Search,4 to 6,115.24
28.07.14,United States,Rupert,750,New customer,NA,Female,At Exit,Buy from this site,Fast delivery,In the past year,"Yes, once",4,Somewhat,6,Referred,7 to 9,80.56
28.07.14,United States,Albuquerque,16,New customer,25-34,Female,At Exit,Products,Shipping costs,Never. This is my first visit,NA,4,Yes,44,Unbranded Search,10+,116.8
28.07.14,United States,Nanticoke,581,New customer,35-44,Female,At Exit,Buy from this site,Shipping costs,In the past year,No,4,Somewhat,24,Unbranded Search,10+,104.68
28.07.14,Australia,Melbourne,534,Other,NA,Male,At Arrival and Exit,Buy from this site,Fast delivery,Never. This is my first visit,NA,3,Somewhat,13,Unbranded Search,4 to 6,97.1
28.07.14,United States,Lake Oswego,465,Employee,Less than 18,Male,At Arrival and Exit,Products,None / no uncertainties,Never. This is my first visit,NA,4,Yes,14,Unbranded Search,7 to 9,78.18
28.07.14,United States,Salt Lake City,765,New customer,NA,Male,At Arrival Only,Buy from this site,None / no uncertainties,Never. This is my first visit,NA,3,Somewhat,3,Unbranded Search,10+,83.89
28.07.14,United States,Utica,886,New customer,NA,Female,At Arrival Only,Compare pricing,Shipping costs,In the past month,No,3,No,3,Unbranded Search,4 to 6,111.79
28.07.14,Canada,Kamloops,432,New customer,NA,Prefer not to answer,At Exit,Products,Whether this is right for my child,Never. This is my first visit,NA,3,Somewhat,3,Direct,7 to 9,57.69
28.07.14,Canada,Beamsville,71,Occasional customer,NA,Female,At Arrival Only,Resources,Product effectiveness/will it work,Never. This is my first visit,NA,3,Somewhat,22,Unbranded Search,7 to 9,159.14
28.07.14,United States,Portland,695,Frequent customer,25-34,Female,At Arrival and Exit,Other,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,3,NA,21,Unbranded Search,7 to 9,140.29
28.07.14,United States,Ukiah,881,New customer,NA,Male,At Arrival Only,Products,None / no uncertainties,Never. This is my first visit,NA,3,No,6,Social,10+,97.76
28.07.14,United States,Salisbury,764,Employee,35-44,Female,At Arrival and Exit,Buy from this site,Ease of returning (if I am not satisfied with product),In the past week,No,5,Somewhat,13,Direct,4 to 6,76.2
28.07.14,United States,Parsippany,664,Frequent customer,45-54,Female,At Exit,Products,Whether this is right for my child,In the past month,No,3,Yes,12,Unbranded Search,10+,129.1
28.07.14,Canada,Victoria,897,Frequent customer,NA,Female,At Arrival Only,Products,None / no uncertainties,Never. This is my first visit,NA,3,No,5,Unbranded Search,10+,137.79
28.07.14,United States,Pulaski,705,New customer,NA,Female,At Arrival Only,Products,Shipping costs,Never. This is my first visit,NA,3,Somewhat,9,Unbranded Search,2 to 3,133.76
28.07.14,United States,Alabaster,12,Occasional customer,NA,Male,At Exit,Compare pricing,Shipping costs,Never. This is my first visit,NA,2,Somewhat,3,Unbranded Search,4 to 6,73.39
28.07.14,United States,Belleville,80,Occasional customer,NA,Female,At Arrival Only,Products,None / no uncertainties,Never. This is my first visit,NA,1,NA,2,Social,4 to 6,130.08
29.07.14,United States,West Monroe,937,Frequent customer,55-64,Female,At Exit,Buy from this site,None / no uncertainties,In the past week,"Yes, more than once",4,Somewhat,54,Direct,2 to 3,136.68
29.07.14,United States,San Antonio,767,New customer,45-54,Female,At Exit,Products,Shipping costs,In the past month,No,5,Yes,7,Direct,10+,48.04
29.07.14,United States,Coatesville,186,Frequent customer,NA,Female,At Exit,Resources,Shipping costs,Never. This is my first visit,NA,4,No,4,Self Referred,1,81.03
29.07.14,United States,Kyle,452,New customer,NA,Female,At Arrival Only,Products,Product durability/quality,Never. This is my first visit,NA,1,NA,3,Unbranded Search,1,131.89
29.07.14,United States,Ann Arbor,32,New customer,NA,Prefer not to answer,At Arrival Only,Buy from this site,Warranties/product guarantees,In the past week,No,3,Somewhat,28,Direct,4 to 6,128.56
29.07.14,United States,Hickory,374,New customer,NA,Male,At Arrival Only,Compare pricing,Fast delivery,More than a year ago,No,3,No,36,Direct,4 to 6,133.59
29.07.14,Canada,Welland,926,New customer,Prefer not to answer,Female,At Exit,Buy from this site,Warranties/product guarantees,Never. This is my first visit,NA,3,Somewhat,11,Social,1,115.18
29.07.14,United States,Jackson,MI,New customer,18-24,Female,At Exit,Compare pricing,Shipping costs,In the past month,No,4,Somewhat,11,Direct,1,89.08
29.07.14,United States,Stafford,828,Frequent customer,NA,Female,At Arrival Only,Buy from this site,Whether this is right for my child,In the past week,"Yes, more than once",3,Yes,9,Unbranded Search,4 to 6,149.54
29.07.14,Costa Rica,Cape Canaveral,NA,New customer,NA,Male,At Arrival Only,Resources,Shipping costs,In the past year,"Yes, more than once",3,No,17,Direct,1,114.98
