"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @itsindysev: so you’re tellin me rapunzel was in quarantine all her life cause her mom was hiding her from CORONA https://t.co/Urcimv6LWN",FALSE,0,NA,2020-03-18 12:46:57,FALSE,NA,"1240258390653198336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nbestsperm",65695,TRUE,FALSE,NA,NA
"2","RT @bcgipson14: Dear corona virus,

Can we have our fucking lives back?

Sincerely, 
Everybody",FALSE,0,NA,2020-03-18 12:46:57,FALSE,NA,"1240258390313406465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DekkMokk",21389,TRUE,FALSE,NA,NA
"3","RT @UnamPillai: ""Often, Kerala’s success has been attributed to its literacy. That may be a factor, but literacy is no substitute for colle…",FALSE,0,NA,2020-03-18 12:46:57,FALSE,NA,"1240258389957054464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RedKite005",218,TRUE,FALSE,NA,NA
"4","RT @virsanghvi: The Taste:How I tweeted about the need for kindness, how daily wagers were the real victims &amp; how we should help chaatwalla…",FALSE,0,NA,2020-03-18 12:46:57,FALSE,NA,"1240258389952749568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VenkatDesirazu",22,TRUE,FALSE,NA,NA
"5","RT @_sayema: So many of us are working from home!
Here are 10 easy tips to effectively work from home. #workfromhome
#coronavirusindia #cor…",FALSE,0,NA,2020-03-18 12:46:57,FALSE,NA,"1240258389755621378",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zibrailmohamma3",94,TRUE,FALSE,NA,NA
"6","RT @girlsreallyrule: Please help me get this article out far and wide so that people are informed about the money the Kushner family stands…",FALSE,0,NA,2020-03-18 12:46:57,FALSE,NA,"1240258388749176843",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Missi_Jan",4892,TRUE,FALSE,NA,NA
"7","RT @nashtysmans: Funny how this corona 🦠 turns capitalism over its head and reminds us that when push comes to shove, we don’t really need…",FALSE,0,NA,2020-03-18 12:46:57,FALSE,NA,"1240258388627296256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rhnsdc",1913,TRUE,FALSE,NA,NA
"8","@SCSLawFirm GET Corona Virus Protection! Buy Face Masks N99 | N95 | FFP3 Here: https://t.co/lhoBGKM7SJ",FALSE,0,"SCSLawFirm",2020-03-18 12:46:57,FALSE,"1240258083101847554","1240258388585521154","3175454406","<a href=""https://facemask99.com/"" rel=""nofollow"">FACE MASK 99</a>","RBSWebsites",0,FALSE,FALSE,NA,NA
"9","Donald trump trying to act like he helping everybody he wanna look like the hero for the corona but bitch you the r… https://t.co/n4QzMrndtO",FALSE,0,NA,2020-03-18 12:46:57,TRUE,NA,"1240258388572979204",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HEYYYMONEHCAHHH",0,FALSE,FALSE,NA,NA
"10","RT @zzzzaaaacccchhh: MIKE D: Well I'm Mike D but you can call me
EVERY BEASTIE BOY: Mona!
MIKE D: Stayin at home to avoid
EVERY BEASTIE BOY…",FALSE,0,NA,2020-03-18 12:46:57,FALSE,NA,"1240258388207890432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","okreroy",12239,TRUE,FALSE,NA,NA
"11","RT @elklien: Corona ruined my life 2020",FALSE,0,NA,2020-03-18 12:46:57,FALSE,NA,"1240258388002553856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Freya_johnsonx",51,TRUE,FALSE,NA,NA
"12","RT @MajorPatriot: I don't know if Oprah was arrested or not.

But she didn't do herself any favors.  She's now raised more questions than s…",FALSE,0,NA,2020-03-18 12:46:57,FALSE,NA,"1240258387968962560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RedPill_1984",82,TRUE,FALSE,NA,NA
"13","RT @FrankFigliuzzi1: This was lunch time at ⁦@fly2ohare⁩ toward G gates. Eerily quiet. #Covid_19 https://t.co/xA3ykZPIoo",FALSE,0,NA,2020-03-18 12:46:57,FALSE,NA,"1240258387805376513",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","caborradaileho1",52,TRUE,FALSE,NA,NA
